id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,product_type,mpn
20804,Rabeko Zero Non-Stick Kookspray,Heerlijke smaken! Bijna 0 kcal!,in stock,new,6.95 EUR,,https://thehealthhouse.nl/product/rabeko-zero-non-stick-spray/,https://thehealthhouse.nl/wp-content/uploads/2022/12/cooking_spray-italian_herbs.jpg,"https://thehealthhouse.nl/wp-content/uploads/2022/12/Rabeko-Spray-Chili-facts-600x600-1.jpg,https://thehealthhouse.nl/wp-content/uploads/2022/12/cooking_spray-butter.jpg,https://thehealthhouse.nl/wp-content/uploads/2022/12/cooking_spray-chili.jpg",Rabeko,Afvallen > Best verkocht > Cooking Sprays,AFV-007
21472,Dorian Yates Blood & Guts Pre-Workout 380 g,Geconcentreerde Pre-Workout 380 gram per pot Verschillende heerlijke smaken 350mg watervrije cafeïne per serving!,in stock,new,29.45 EUR,,https://thehealthhouse.nl/product/dorian-yates-blood-guts-pre-workout-380gr/,https://thehealthhouse.nl/wp-content/uploads/2025/09/dorian-yates-blood-en-guts-380g-cola.webp,https://thehealthhouse.nl/wp-content/uploads/2022/12/nutritional_facts_blood_and_guts_1_1152x1200.webp,Dorian Yates,Best verkocht > Nieuwe Producten > Pre Workout,PRE-027
32319,Ricoded Fit & Focus Boost 120 capsules,Extra energie boost! Revolutionaire formule,in stock,new,24.95 EUR,,https://thehealthhouse.nl/product/ricoded-fit-focus-boost-120-vcaps/,https://thehealthhouse.nl/wp-content/uploads/2023/03/RICODED-3D-Fit-Focus-Boost-120-vcaps-2022-e1670671611120.webp,,Ricoded,Best verkocht > Nieuwe Producten > Pre Workout,210000004200
41183,The Health House Creatine Monohydrate 100%,"Creatinepoeder met 100% creatine en 5 g per portie, voor je krachttraining.",in stock,new,14.95 EUR,9.95 EUR,https://thehealthhouse.nl/product/the-health-house-creatine/,https://thehealthhouse.nl/wp-content/uploads/2024/06/wmremove-transformed-4-1.png,https://thehealthhouse.nl/wp-content/uploads/2024/06/Scherm­afbeelding-2025-08-04-om-11.03.16.png,The Health House,Best verkocht > Creatine > Nieuwe Producten,DEA-034
45196,The Health House Platinum Whey Protein,"&#8211; Maximale zuiverheid : meer van wat je nodig hebt (eiwitten) en minder van wat je niet wilt (vet, suiker, lactose). &#8211; Snelle opname : verrijkt met HydroWhey – strategisch gehydrolyseerde whey peptides voor een razendsnelle opname en werking. &#8211; Hoog proteïnegehalte : elke dosering levert een indrukwekkende 23 gram hoogwaardige eiwitten .",in stock,new,39.95 EUR,,https://thehealthhouse.nl/product/the-health-house-platinum-whey/,https://thehealthhouse.nl/wp-content/uploads/2025/09/platinum-whey.webp,"https://thehealthhouse.nl/wp-content/uploads/2025/06/platinum-whey.png,https://thehealthhouse.nl/wp-content/uploads/2025/06/nutrition-facts.png",The Health House,Best verkocht > Eiwitten > Nieuwe Producten,EIW-019
45304,The Health House 100% Creatine Monohydrate 500 g,"500 g creatine monohydraatpoeder van The Health House, met 5 g per portie.",in stock,new,34.95 EUR,19.95 EUR,https://thehealthhouse.nl/product/the-health-house-creatine-100-500-gr/,https://thehealthhouse.nl/wp-content/uploads/2025/12/wmremove-transformed-1-1.png,https://thehealthhouse.nl/wp-content/uploads/2024/06/Scherm­afbeelding-2025-08-04-om-11.03.16.png,The Health House,Best verkocht > Creatine > Nieuwe Producten,CRE-010
45508,Cellucor C4 Pre-Workout,"Bevat cafeïne en beta-alanine (volgens etiket) 30 porties; portiegrootte volgens etiket Mix met water; innemen vóór de training",in stock,new,21.90 EUR,,https://thehealthhouse.nl/product/cellucor-c4-pre-workout-30-servings/,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-36.png,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-37.png,Cellucor,Pre Workout > Stim Pre > Week Deals,PRE-025
45602,HYPE Pre-Workout 300 gram,"&#8211; 200 mg cafeïne per serving voor verbeterde prestaties en alertheid &#8211; 2800 mg Beta-Alanine voor ondersteuning van intensieve trainingen &#8211; Bereidt het lichaam voor op maximale inspanning",in stock,new,24.99 EUR,,https://thehealthhouse.nl/product/hype-pre-workout-300-gram/,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-12-1.png,"https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-13-1.png,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-14-1.png",HYPE,Pre Workout > Stim Pre > Week Deals,PRE-023
45609,nutri+ Pea-Rice Protein Powder 1KG,Dubbele combinatie van erwten- en rijsteiwit Lichte romigheid en aangename zoetheid 20 g eiwit per portie,in stock,new,29.99 EUR,,https://thehealthhouse.nl/product/pea-rice-protein-powder-1kg/,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-15-1.png,,Nutri+,Eiwitten > Eiwitten Vegan,EIW-034
45617,nutri+ Vegan Protein,"Eiwitpoeder gemaakt van erwt, pompoenpit, boekweit, rijst & hennep Lichte romigheid en licht gezoet met stevia 20 g eiwit per portie",in stock,new,34.95 EUR,,https://thehealthhouse.nl/product/vegan-high-5-protein/,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-16-1.png,"https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-17-1.png,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-18-1.png,https://thehealthhouse.nl/wp-content/uploads/2025/09/Ontwerp-zonder-titel-19-1.png",Nutri+,Eiwitten > Eiwitten Vegan,EIW-033
